financial_year,term,irr,irr_lower,irr_upper
2020/21,ethnicityAsian,1.2311222762711693,1.1261716315447614,1.3458535241667229
2020/21,ethnicityBlack,3.0023847231565974,2.762042292999229,3.2636408387706886
2020/21,ethnicityMixed,1.1734902422072726,1.006942829872657,1.367584442435362
2020/21,ethnicityOther,0.7239519455815597,0.5908827469660933,0.8869888691155176
2021/22,ethnicityAsian,1.0958334113448573,0.9917748176157559,1.2108099984899536
2021/22,ethnicityBlack,2.8595041688245395,2.6078521168797186,3.1354400959316577
2021/22,ethnicityMixed,1.2221255849184254,1.0395845404538995,1.4367190807397705
2021/22,ethnicityOther,0.7661097478793445,0.6174842668523584,0.9505086644354738
2022/23,ethnicityAsian,1.100866781224952,0.9922513961134601,1.2213715946901116
2022/23,ethnicityBlack,2.9007211114428433,2.6297599883344964,3.1996011056884144
2022/23,ethnicityMixed,1.3547896111172102,1.1518238577659432,1.593520465838533
2022/23,ethnicityOther,0.9310927783599274,0.7536375730136217,1.150332458143431
2023/24,ethnicityAsian,1.1485464476131746,1.0315069208595196,1.2788658182008439
2023/24,ethnicityBlack,3.0766652555824603,2.7728716099474786,3.4137422955142083
2023/24,ethnicityMixed,1.497129170706457,1.270056702465637,1.7647997521912584
2023/24,ethnicityOther,1.162451058506195,0.9443940212757198,1.4308566477335392
2024/25,ethnicityAsian,1.2370304686306028,1.1125930531977928,1.3753855247633007
2024/25,ethnicityBlack,3.3320484223685543,3.0011299717581847,3.6994554696024857
2024/25,ethnicityMixed,1.6985943038815174,1.450008109346735,1.989797567738157
2024/25,ethnicityOther,1.3522021670115605,1.1054863356913556,1.6539785625909824
