financial_year,region_clean,ethnicity,total_searches,population,rate_per_1000
2022/23,North East,Mixed,232,33264,6.9745069745069745
2022/23,North East,Other,115,26341,4.365817546790175
2022/23,North East,White,13058,2462720,5.302267411642411
2022/23,North West,Asian,6560,622692,10.534903290872535
2022/23,North West,Black,3916,173922,22.515840434217637
2022/23,North West,Mixed,1926,163254,11.79756698151347
2022/23,North West,Other,1622,110156,14.724572424561531
2022/23,North West,White,80237,6347383,12.640957698629498
2022/23,South East,Asian,2172,650549,3.338718528504386
2022/23,South East,Black,2665,221579,12.027313057645355
2022/23,South East,Mixed,1361,260866,5.217237968918909
2022/23,South East,Other,554,135693,4.0827456095745545
2022/23,South East,White,29207,8009377,3.646600728121551
2022/23,South West,Asian,326,159183,2.0479573823837973
2022/23,South West,Black,857,69610,12.311449504381555
2022/23,South West,Mixed,524,114081,4.5932276189724845
2022/23,South West,Other,153,48701,3.1416192685981805
2022/23,South West,White,12732,5309602,2.3979198440862426
2022/23,Wales,Asian,455,89032,5.11052205948423
2022/23,Wales,Black,442,27561,16.037153949421285
2022/23,Wales,Mixed,329,48602,6.769268754372248
2022/23,Wales,Other,145,26466,5.478727423864581
2022/23,Wales,White,17731,2915852,6.080898481815949
2022/23,West Midlands,Asian,7705,794268,9.700755916139137
2022/23,West Midlands,Black,4144,269023,15.403887399962086
2022/23,West Midlands,Mixed,2659,178218,14.91992952451492
2022/23,West Midlands,Other,112,124229,0.9015608271820589
2022/23,West Midlands,White,17115,4585030,3.732800003489617
2022/23,Yorkshire and The Humber,Asian,5287,487061,10.854903184611373
2022/23,Yorkshire and The Humber,Black,1681,117649,14.28826424363998
2022/23,Yorkshire and The Humber,Mixed,1250,117011,10.68275632205519
2022/23,Yorkshire and The Humber,Other,390,79096,4.930717103266916
2022/23,Yorkshire and The Humber,White,22111,4679966,4.724606973640407
2023/24,East Midlands,Asian,1233,391111,3.1525577137948053
2023/24,East Midlands,Black,1538,129979,11.832680663799536
2023/24,East Midlands,Mixed,710,117247,6.055592040734518
2023/24,East Midlands,Other,200,61946,3.228618474154909
2023/24,East Midlands,White,12894,4179766,3.0848616884294477
2023/24,East of England,Asian,1696,405866,4.17871908462399
2023/24,East of England,Black,2482,184956,13.419407859166505
2023/24,East of England,Mixed,1017,179658,5.660755435327122
2023/24,East of England,Other,557,86232,6.45931904629372
2023/24,East of England,White,20179,5478363,3.683399584875993
2023/24,London,Asian,13880,1817647,7.636246201820265
2023/24,London,Black,30719,1188369,25.84971502959098
2023/24,London,Mixed,4751,505776,9.393486444592073
2023/24,London,Other,4781,556772,8.586997909377626
2023/24,London,White,40007,4731172,8.45604429515562
2023/24,North East,Asian,830,98046,8.465414193337821
2023/24,North East,Black,333,26635,12.502346536512109
2023/24,North East,Mixed,302,33264,9.078884078884078
2023/24,North East,Other,123,26341,4.669526593523404
2023/24,North East,White,17150,2462720,6.963844854469855
2023/24,North West,Asian,9509,622692,15.270791980626056
2023/24,North West,Black,6033,173922,34.687963569876146
2023/24,North West,Mixed,2569,163254,15.736214732870252
2023/24,North West,Other,2184,110156,19.826427974872
2023/24,North West,White,95560,6347383,15.055023464000833
2023/24,South East,Asian,2471,650549,3.7983303333031024
2023/24,South East,Black,2880,221579,12.997621615766837
2023/24,South East,Mixed,2066,260866,7.9197749035903495
2023/24,South East,Other,1006,135693,7.413794374064985
2023/24,South East,White,33093,8009377,4.131782034982247
2023/24,South West,Asian,359,159183,2.255265951766206
2023/24,South West,Black,818,69610,11.751185174543886
2023/24,South West,Mixed,595,114081,5.215592429940131
2023/24,South West,Other,197,48701,4.045091476561056
2023/24,South West,White,12879,5309602,2.4256055350288026
2023/24,Wales,Asian,296,89032,3.3246473178183127
2023/24,Wales,Black,370,27561,13.424766880737275
2023/24,Wales,Mixed,250,48602,5.143821241924201
2023/24,Wales,Other,128,26466,4.836393863825285
2023/24,Wales,White,12211,2915852,4.187798283314791
2023/24,West Midlands,Asian,6972,794268,8.777893607699164
2023/24,West Midlands,Black,3981,269023,14.79799124981879
2023/24,West Midlands,Mixed,2606,178218,14.622540933014623
2023/24,West Midlands,Other,140,124229,1.1269510339775737
2023/24,West Midlands,White,18284,4585030,3.9877601673271497
2023/24,Yorkshire and The Humber,Asian,5908,487061,12.129897487173064
2023/24,Yorkshire and The Humber,Black,1785,117649,15.172249657880645
2023/24,Yorkshire and The Humber,Mixed,1357,117011,11.597200263223115
2023/24,Yorkshire and The Humber,Other,565,79096,7.143218367553353
2023/24,Yorkshire and The Humber,White,22237,4679966,4.751530246159908
2024/25,East Midlands,Asian,1114,391111,2.8482962637205294
2024/25,East Midlands,Black,1417,129979,10.901761053708675
2024/25,East Midlands,Mixed,655,117247,5.58649688264945
2024/25,East Midlands,Other,240,61946,3.874342168985891
2024/25,East Midlands,White,11288,4179766,2.7006296524733684
2024/25,East of England,Asian,1791,405866,4.412786486180168
2024/25,East of England,Black,2394,184956,12.943619022902745
2024/25,East of England,Mixed,1061,179658,5.905665208340292
2024/25,East of England,Other,608,86232,7.050746822525281
2024/25,East of England,White,18608,5478363,3.396635089715669
2024/25,London,Asian,12887,1817647,7.089935504528657
2024/25,London,Black,29295,1188369,24.651434024280338
2024/25,London,Mixed,5519,505776,10.911945208946253
2024/25,London,Other,4743,556772,8.518747350800687
2024/25,London,White,32254,4731172,6.817338283199174
2024/25,North East,Asian,818,98046,8.343022662831732
2024/25,North East,Black,344,26635,12.915336962643138
2024/25,North East,Mixed,252,33264,7.575757575757576
2024/25,North East,Other,80,26341,3.0370904673322956
2024/25,North East,White,16306,2462720,6.621134355509355
2024/25,North West,Asian,10932,622692,17.55603091094795
2024/25,North West,Black,6544,173922,37.62606225779373
2024/25,North West,Mixed,2948,163254,18.05775049922207
2024/25,North West,Other,2615,110156,23.739060968081628
2024/25,North West,White,103590,6347383,16.32011176889751
2024/25,South East,Asian,3117,650549,4.79133777778461
2024/25,South East,Black,3612,221579,16.301183776440908
2024/25,South East,Mixed,2213,260866,8.483282604862266
2024/25,South East,Other,1208,135693,8.902448910408053
2024/25,South East,White,35951,8009377,4.488613783568934
2024/25,South West,Asian,421,159183,2.644754779090732
2024/25,South West,Black,848,69610,12.182157735957478
2024/25,South West,Mixed,584,114081,5.11916971274796
2024/25,South West,Other,199,48701,4.086158395104824
2024/25,South West,White,12702,5309602,2.3922697030775564
2024/25,Wales,Asian,344,89032,3.863779315302363
2024/25,Wales,Black,375,27561,13.606182649395885
2024/25,Wales,Mixed,228,48602,4.691164972634871
2024/25,Wales,Other,138,26466,5.214237134436636
2024/25,Wales,White,11520,2915852,3.950817805567635
2024/25,West Midlands,Asian,6866,794268,8.644437393927491
2024/25,West Midlands,Black,4130,269023,15.351847239827078
2024/25,West Midlands,Mixed,2415,178218,13.550819782513551
2024/25,West Midlands,Other,99,124229,0.7969153740269985
2024/25,West Midlands,White,16878,4585030,3.6811100472625045
2024/25,Yorkshire and The Humber,Asian,5787,487061,11.881468645611125
2024/25,Yorkshire and The Humber,Black,1688,117649,14.347763261906179
2024/25,Yorkshire and The Humber,Mixed,1299,117011,11.101520369879756
2024/25,Yorkshire and The Humber,Other,655,79096,8.281076160614948
2024/25,Yorkshire and The Humber,White,21087,4679966,4.505801965227953
