reason,rate_Asian,rate_Black,rate_Mixed,rate_Other,rate_White,total_searches,black_white_ratio
Anticipation of Violence,0.5450139653029532,1.8773,0.5826620496083474,0.5160747735005161,0.2365,20695,7.94
Offensive Weapons,5.747848545586901,26.9072,8.589754111958426,5.344718834817845,3.8812,307009,6.93
Terrorism Act 2000 section 43,0.07179824692613755,0.0718,0.026775678603380603,0.10034787262510035,0.0106,1258,6.76
Firearms,0.5341354430414172,1.2107,0.46741021561988316,0.2898938542502899,0.2208,17784,5.48
Stolen Property,2.9176196705439534,13.6402,5.132199092304496,5.511965289193012,2.9644,209056,4.6
Drugs,33.42425964856933,81.2304,31.13778589585309,24.07632172483658,18.998,1388971,4.28
Other,0.8329321878249392,1.7611,0.7706738798016504,0.7534054563757534,0.6302,41797,2.79
Going Equipped,2.0636556730133777,5.0135,3.087352158963711,2.5023255221275025,2.7383,165261,1.83
Criminal Damage,0.19037413957687987,0.5774,0.49826045401073477,0.2444983880627445,0.5044,28166,1.14
