term,estimate,std_error,irr,irr_lower,irr_upper
(Intercept),-9.523660899734251,0.06020990477004009,7.310155642333982e-5,6.496432316866451e-5,8.225803473147445e-5
financial_year2021/22,-0.3192847653390399,0.028238802309606886,0.7266685898129439,0.6875416854718998,0.7680221440803303
financial_year2022/23,-0.3071577954216377,0.028138952946761473,0.7355345277686509,0.6960664540858138,0.7772405039263024
financial_year2023/24,-0.3323017525978194,0.028344687199566062,0.7172708518528556,0.6785091328059734,0.7582469417767457
financial_year2024/25,-0.36457419342532255,0.02861460074312267,0.6944923073178025,0.656614092778574,0.7345556091898485
region_cleanEast of England,0.43645947716247213,0.06016339360028554,1.5472195434960314,1.3751175600829484,1.7408608436588258
region_cleanLondon,1.4093080780045688,0.0525822253561624,4.093122302690405,3.6922902013711627,4.537468419616637
region_cleanNorth East,0.6178271711340353,0.07025771614016679,1.8548932943325984,1.6162716520690594,2.128744341308926
region_cleanNorth West,1.3741243993068581,0.053149369000483844,3.951615170690482,3.5606803496813644,4.385471573888551
region_cleanSouth East,0.36137893549494876,0.057541140362840096,1.4353072467041068,1.2822268595668473,1.6066633428169288
region_cleanSouth West,-0.09056699891152868,0.06911950400271807,0.9134131341650529,0.7976852150133669,1.045930823290042
region_cleanWales,0.6537532310477395,0.06703399608751626,1.9227438050877443,1.686013048234704,2.192713599621359
region_cleanWest Midlands,0.3685886338018814,0.06114916509328124,1.4456927721969999,1.2824037804000266,1.6297734173324834
region_cleanYorkshire and The Humber,0.6490127765565001,0.059630106358246775,1.9136506953461585,1.702568116775037,2.150903066795012
ethnicityAsian,0.15624434607310722,0.03060583721767569,1.1691118360779673,1.1010418909688138,1.2413900837641336
ethnicityBlack,1.1059068474923357,0.029050474790123248,3.0219636867836597,2.8547033061041844,3.199024047336778
ethnicityMixed,0.3055703977160187,0.04883838879748989,1.3573990395427826,1.2334895136733406,1.4937558302093668
ethnicityOther,-0.06856782293040595,0.06349998148729429,0.9337301296423177,0.8244590648690567,1.0574836182319491
sexMale,2.0798521628594115,0.02963136310112987,8.00328564396794,7.551715010554007,8.481858890255488
age_under25Under 25,0.025339781931658423,0.018615906377560703,1.0256635632705615,0.988914507405714,1.0637782509436637
reason_drugsDrugs,0.5733563438656335,0.01938494171229157,1.774211934660011,1.7080662080485185,1.842919187943213
