ethnicity,ipw_count,ipw_pop,ipw_rate,ipw_rr
White,1420022.912853281,1706081317.406847,0.8323301464971438,1
Asian,244572.7128600589,607571991.5570288,0.40254112476990717,0.4836315570978643
Black,308174.1079472441,197761556.1077147,1.5583115040791398,1.8722276378397251
Mixed,82758.55299858365,80981430.46057041,1.0219448153472481,1.2278118480366194
Other,47931.71272463734,101157795.18148105,0.4738311332176227,0.5692826761252588
