term,estimate,std_error,irr,irr_lower,irr_upper
(Intercept),-9.58817218959226,0.060282819698737236,6.85345754056532e-5,6.089700787664671e-5,7.713002969780399e-5
financial_year2021/22,-0.27370487428784446,0.03431059070636528,0.7605565019214782,0.7110918792988361,0.8134619582288095
financial_year2022/23,-0.22442268979008478,0.033838769947007914,0.7989773434184293,0.7477050635088733,0.8537655105613646
financial_year2023/24,-0.2261596706120368,0.03385511650226214,0.7975907396964008,0.7463835275013968,0.8523111304171452
financial_year2024/25,-0.25490218948981724,0.034128601822449485,0.7749922966459891,0.7248473130030008,0.8286063134763092
ethnicityAsian,0.3641352780168683,0.05469827947575331,1.4392689024320888,1.2929502856936426,1.6021458801849857
ethnicityBlack,1.3489462400661365,0.04979392810089619,3.8533628711347343,3.4950585952237914,4.24839956529798
ethnicityMixed,0.3209176311806443,0.09599926053620315,1.378392039692772,1.1419748412130148,1.6637534790786133
ethnicityOther,-0.09844145092488543,0.12731834056535674,0.9062487510871933,0.7061091864397175,1.1631158673747308
region_cleanEast of England,0.43644974299170436,0.059014227482981234,1.5472044826700821,1.3782049025198333,1.7369272934798226
region_cleanLondon,1.4092982176175364,0.05157789342086537,4.09308194311931,3.699529119356972,4.528500588204939
region_cleanNorth East,0.6178693909299154,0.06891578147750396,1.854971609202072,1.6205967720751506,2.1232423328473478
region_cleanNorth West,1.3741088423135666,0.0521341799860452,3.9515536959179633,3.567716836285835,4.3766860791504545
region_cleanSouth East,0.3613694562773694,0.056442062050809025,1.435293641178907,1.2849798209175651,1.6031908072591934
region_cleanSouth West,-0.09058742330259947,0.06779926052502351,0.913394478448508,0.7997357055728842,1.043206483650227
region_cleanWales,0.6537039978719947,0.06575356755503171,1.9226491446343128,1.690166433529028,2.1871098964169358
region_cleanWest Midlands,0.36859763510032967,0.05998117089364359,1.4457057853676747,1.2853544798994574,1.62606133213077
region_cleanYorkshire and The Humber,0.6490033926973161,0.05849112878896747,1.9136327380017606,1.706357156410364,2.1460866162719325
sexMale,2.0798522636432337,0.029065383590522048,8.003286450569698,7.5600976880357695,8.472455866706449
age_under25Under 25,0.025344500352235767,0.018260328312458576,1.0256684027940413,0.9896086241677123,1.0630421429227506
reason_drugsDrugs,0.5733683893660881,0.019014675340765876,1.7742333060593907,1.7093268289015,1.84160440888501
financial_year2021/22:ethnicityAsian,-0.16996614115615621,0.08598552436152451,0.8436933825952684,0.7128403698018807,0.9985665150149693
financial_year2022/23:ethnicityAsian,-0.28009644259865,0.08715935814891586,0.7557108552224074,0.6370362073697114,0.8964936217032613
financial_year2023/24:ethnicityAsian,-0.3467300378272908,0.0887835524820749,0.7069961647180021,0.5940773194346349,0.8413779832592332
financial_year2024/25:ethnicityAsian,-0.34817546688443435,0.08963351846725923,0.7059749901137444,0.5922318021326853,0.8415635311567383
financial_year2021/22:ethnicityBlack,-0.1386939677882649,0.07635696964975766,0.8704943870215859,0.7494965021948641,1.011026036301733
financial_year2022/23:ethnicityBlack,-0.30570495613007465,0.07840622146690315,0.7366039178687717,0.6316744361692942,0.8589635748282942
financial_year2023/24:ethnicityBlack,-0.43626085039782886,0.08120342963157091,0.6464490774413558,0.5513311939386016,0.7579770822314811
financial_year2024/25:ethnicityBlack,-0.4907588568915095,0.08322084602663332,0.6121616747733337,0.5200284719769818,0.7206180743078241
financial_year2021/22:ethnicityMixed,-0.018640929174782633,0.14643793708964029,0.981531738386303,0.7366375595291267,1.3078406619334821
financial_year2022/23:ethnicityMixed,-0.03292785072700987,0.1449582599951095,0.9676083693110263,0.7282972233184591,1.2855547520759212
financial_year2023/24:ethnicityMixed,-0.04284999260468947,0.14541455763482863,0.9580550946376976,0.7204620580090435,1.27400125260965
financial_year2024/25:ethnicityMixed,0.013372049455175481,0.14441864049533668,1.0134618551574608,0.7636173348444274,1.3450518800341993
financial_year2021/22:ethnicityOther,-0.026194413234957827,0.19458336877632063,0.9741456843840833,0.6652596815121016,1.4264502130163617
financial_year2022/23:ethnicityOther,0.00760170786619397,0.19001351233129887,1.0076306741987822,0.694318301239187,1.4623258147944498
financial_year2023/24:ethnicityOther,0.06535887859169111,0.1872414105412832,1.0675420736419519,0.7396085005674482,1.5408774752066676
financial_year2024/25:ethnicityOther,0.10374475947339906,0.18680441304984935,1.1093172760520518,0.7692095190344383,1.599804459638323
